#rho [fm-3], epsilon [g cm-3], pressure [dyne cm2]
0.010, 1.6752E+013, 3.9994E+030
0.015, 2.5131E+013, 3.4326E+030
0.020, 3.3510E+013, 5.4699E+030
0.025, 4.1890E+013, 1.2938E+031
0.030, 5.0273E+013, 2.8451E+031
0.060, 1.0069E+014, 3.9881E+032
0.090, 1.5147E+014, 1.4359E+033
0.120, 2.0278E+014, 3.2931E+033
0.150, 2.5471E+014, 5.9640E+033
0.180, 3.0733E+014, 9.4446E+033
0.210, 3.6068E+014, 1.3837E+034
0.240, 4.1478E+014, 1.9208E+034
0.270, 4.6973E+014, 2.5623E+034
0.300, 5.2552E+014, 3.3149E+034
0.330, 5.8216E+014, 3.9817E+034
0.360, 6.3940E+014, 4.5742E+034
0.390, 6.9723E+014, 5.2160E+034
0.420, 7.5559E+014, 5.9208E+034
0.450, 8.1458E+014, 6.6966E+034
0.480, 8.7414E+014, 7.5499E+034
0.510, 9.3433E+014, 8.4437E+034
0.540, 9.9512E+014, 9.3173E+034
0.570, 1.0564E+015, 1.0222E+035
0.600, 1.1183E+015, 1.1171E+035
0.630, 1.1807E+015, 1.2170E+035
0.660, 1.2436E+015, 1.3225E+035
0.690, 1.3071E+015, 1.4339E+035
0.720, 1.3712E+015, 1.5515E+035
0.750, 1.4358E+015, 1.6757E+035
0.780, 1.5009E+015, 1.8067E+035
0.810, 1.5667E+015, 1.9446E+035
0.840, 1.6330E+015, 2.0899E+035
0.870, 1.6999E+015, 2.2426E+035
0.900, 1.7674E+015, 2.3941E+035
0.930, 1.8355E+015, 2.5436E+035
0.960, 1.9042E+015, 2.6953E+035
0.990, 1.9733E+015, 2.8502E+035
1.020, 2.0430E+015, 3.0087E+035
1.050, 2.1131E+015, 3.1717E+035
1.080, 2.1839E+015, 3.3396E+035
1.110, 2.2551E+015, 3.5125E+035
1.140, 2.3269E+015, 3.6867E+035
1.170, 2.3991E+015, 3.8357E+035
1.200, 2.4718E+015, 3.9751E+035
1.230, 2.5448E+015, 4.1095E+035
1.260, 2.6182E+015, 4.2384E+035
1.290, 2.6920E+015, 4.3491E+035
1.320, 2.7659E+015, 4.4414E+035
